"espece";"nom";"nomscientific";"indicateur";"specialisation"
"CICNIG";"Cigogne noire";"Ciconia nigra";FALSE;"non"
"CINCIN";"Cincle plongeur";"Cinclus cinclus";FALSE;"non"
"CIRAER";"Busard des roseaux";"Circus aeruginosus";FALSE;"non"
"CIRCYA";"Busard Saint-Martin";"Circus cyaneus";FALSE;"non"
"CIRGAL";"Circaète Jean-le-blanc";"Circaetus gallicus";FALSE;"non"
"CIRMAC";"Busard pâle";"Circus macrourus";FALSE;"non"
"CIRPYG";"Busard cendré";"Circus pygargus";FALSE;"non"
"CISJUN";"Cisticole des joncs";"Cisticola juncidis";FALSE;"non"
"CLAGLA";"Coucou geai";"Clamator glandarius";FALSE;"non"
"COCCOC";"Grosbec casse-noyaux";"Coccothraustes coccothraustes";TRUE;"milieux forestiers"
"COLLIV";"Pigeon biset";"Columba livia";FALSE;"non"
"COLOEN";"Pigeon colombin";"Columba oenas";FALSE;"non"
"COLPAL";"Pigeon ramier";"Columba palumbus";TRUE;"generaliste"
"COLVIR";"Colin de Virginie";"Colinus virginianus";FALSE;"non"
"CORCOR";"Corneille noire";"Corvus corone";TRUE;"generaliste"
"CORFRU";"Corbeau freux";"Corvus frugilegus";TRUE;"milieux agricoles"
"CORGAR";"Rollier d'Europe";"Coracias garrulus";FALSE;"non"
"CORMON";"Choucas des tours";"Corvus monedula";TRUE;"milieux bâtis"
"CORRAX";"Grand Corbeau";"Corvus corax";FALSE;"non"
"COTCOT";"Caille des blés";"Coturnix coturnix";TRUE;"milieux agricoles"
"CRECRE";"Râle des genêts";"Crex crex";FALSE;"non"
"CUCCAN";"Coucou gris";"Cuculus canorus";TRUE;"generaliste"
"CYGATR";"Cygne noir";"Cygnus atratus";FALSE;"non"
"CYGOLO";"Cygne tuberculé";"Cygnus olor";FALSE;"non"
"DELURB";"Hirondelle de fenêtre";"Delichon urbicum";TRUE;"milieux bâtis"
"DENLEU";"Pic à dos blanc";"Dendrocopos leucotos";FALSE;"non"
"DENMAJ";"Pic épeiche";"Dendrocopos major";TRUE;"milieux forestiers"
"DENMED";"Pic mar";"Dendrocopos medius";TRUE;"milieux forestiers"
"DENMIN";"Pic épeichette";"Dendrocopos minor";FALSE;"non"
"DRYMAR";"Pic noir";"Dryocopus martius";TRUE;"milieux forestiers"
"EGRALB";"Grande Aigrette";"Ardea alba";FALSE;"non"
"EGRGAR";"Aigrette garzette";"Egretta garzetta";FALSE;"non"
"ELACAE";"Elanion blanc";"Elanus caeruleus";FALSE;"non"
"EMBAUR";"Bruant auréole";"Emberiza aureola";FALSE;"non"
