"pk_species";"indicator";"habitat_specialisation_f";"habitat_specialisation";"european_fbi";"french_fbi";"montane_lehikoinen"
"OENOEN";t;"milieux agricoles";"farmland";f;t;t
"OENPLE";f;"non";"";f;f;f
"PHOOCH";t;"milieux bâtis";"urban";f;f;t
"PHOPHO";t;"milieux bâtis";"urban";f;f;f
"PRUCOL";f;"non";"";f;f;t
"SAXRUB";t;"milieux agricoles";"farmland";t;t;t
"SAXTOR";t;"milieux agricoles";"farmland";t;t;f
"TROTRO";t;"milieux forestiers";"woodland";f;f;f
"TURILI";f;"non";"";f;f;f
"TURMER";t;"generaliste";"generalist";f;f;f
"TURRUF";f;"non";"";f;f;f
"TURTOR";f;"non";"";f;f;t
"TURVIS";t;"milieux forestiers";"woodland";f;f;f
"ZOODAU";f;"non";"";f;f;f
"CETCET";f;"non";"";f;f;f
"CINCIN";f;"non";"";f;f;f
"ERIRUB";t;"milieux forestiers";"woodland";f;f;f
"GRIVES";f;"milieux forestiers";"woodland";f;f;f
"LOCCER";f;"non";"";f;f;f
"LOCLAN";f;"non";"";f;f;f
"LOCFAS";f;"non";"";f;f;f
"ACRAGR";f;"non";"";f;f;f
"ACRDUM";f;"non";"";f;f;f
"HIPCAL";f;"non";"";f;f;f
"SYLRUE";f;"non";"";f;f;f
"PHYDES";f;"non";"";f;f;f
"PHYPRO";f;"non";"";f;f;f
"PHYINO";f;"non";"";f;f;f
"PHYSCH";f;"non";"";f;f;f
"PHYFUS";f;"non";"";f;f;f
"PHYCOLTRI";t;"milieux forestiers";"woodland";f;f;f
"PHYCOLABI";t;"milieux forestiers";"woodland";f;f;f
"PHYCOLBRE";t;"milieux forestiers";"woodland";f;f;f
"PHYTROACR";t;"milieux forestiers";"woodland";f;f;f
"CISJUN";f;"non";"";f;f;f
"HIPICT";f;"non";"";f;f;f
"ACRMEL";f;"non";"";f;f;f
"ACRARU";f;"non";"";f;f;f
"HIPOLI";f;"non";"";f;f;f
"HIPPAL";f;"non";"";f;f;f
"LOCFLU";f;"non";"";f;f;f
"LOCLUS";f;"non";"";f;f;f
"LOCNAE";f;"non";"";f;f;f
"PHYBON";t;"milieux forestiers";"woodland";f;f;f
"PHYBOR";f;"non";"";f;f;f
"PHYCOL";t;"milieux forestiers";"woodland";f;f;f
"PHYSIB";t;"milieux forestiers";"woodland";f;f;f
"PHYTRO";t;"milieux forestiers";"woodland";f;f;f
"REGREG";t;"milieux forestiers";"woodland";f;f;f
"SYLATR";t;"generaliste";"generalist";f;f;f
"SYLBOR";f;"non";"";f;f;f
"SYLCAN";f;"non";"";f;f;f
"SYLCON";f;"non";"";f;f;f
"SYLCUR";f;"non";"";f;f;t
"SYLHOR";f;"non";"";f;f;f
"SYLMEL";t;"milieux forestiers";"woodland";f;f;f
"SYLNIS";f;"non";"";f;f;f
"SYLSAR";f;"non";"";f;f;f
"SYLUND";f;"non";"";f;f;f
"ACRPAL";f;"non";"";f;f;f
"ACRRIS";f;"non";"";f;f;f
"ACRSCH";f;"non";"";f;f;f
"ACRSCI";f;"non";"";f;f;f
"AEGCAUCAU";f;"non";"";f;f;f
"AEGCAUROS";f;"non";"";f;f;f
"PARCIN";f;"non";"";f;f;f
"SITNEU";f;"non";"";f;f;f
"REMPEN";f;"non";"";f;f;f
"LANISA";f;"non";"";f;f;f
"PERINF";f;"non";"";f;f;f
"CYACYA";f;"non";"";f;f;f
"NUCCARCAR";f;"non";"";f;f;f
"NUCCARMAC";f;"non";"";f;f;f
"CORMONMON";t;"milieux bâtis";"urban";f;f;f
"CORDAU";f;"non";"";f;f;f
"CORCORNIX";f;"non";"";f;f;f
"ORIORI";t;"generaliste";"generalist";f;f;f
