pk_species,euring,taxref,indicator,habitat_specialisation_f,habitat_specialisation,european_fbi,french_fbi,montane_lehikoinen,french_trim
OENISA,11440,4062,FALSE,,,FALSE,FALSE,FALSE,FALSE
OENLEU,11580,4080,FALSE,,,FALSE,FALSE,FALSE,FALSE
OENOEN,11460,4064,TRUE,milieux agricoles,farmland,FALSE,TRUE,TRUE,TRUE
OENOENLEU,11462,4068,TRUE,milieux agricoles,farmland,FALSE,FALSE,FALSE,FALSE
OENOENOEN,11461,4067,TRUE,milieux agricoles,farmland,FALSE,FALSE,FALSE,FALSE
OENPLE,11470,4070,FALSE,,,FALSE,FALSE,FALSE,FALSE
ORIORI,15080,3803,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
OTITAR,4460,3101,FALSE,,,FALSE,FALSE,FALSE,FALSE
OTUSCO,7390,3489,FALSE,,,FALSE,FALSE,FALSE,FALSE
OXYJAM,2250,2823,FALSE,,,FALSE,FALSE,FALSE,FALSE
OXYLEU,2260,2826,FALSE,,,FALSE,FALSE,FALSE,FALSE
PAGEBU,6040,3322,FALSE,,,FALSE,FALSE,FALSE,FALSE
PANBIA,13640,4338,FALSE,,,FALSE,FALSE,FALSE,FALSE
PANHAL,3010,2660,FALSE,,,FALSE,FALSE,FALSE,FALSE
PARAME,17320,627455,FALSE,,,FALSE,FALSE,FALSE,FALSE
PARATE,14610,534751,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
PARCAE,14620,534742,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
PARCIN,14480,,FALSE,,,FALSE,FALSE,FALSE,FALSE
PARCRI,14540,534750,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
PARCYA,14630,3768,FALSE,,,FALSE,FALSE,FALSE,FALSE
PARLUG,14410,,FALSE,,,FALSE,FALSE,FALSE,FALSE
PARMAJ,14640,3764,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
PARMON,14420,4355,FALSE,,,FALSE,FALSE,FALSE,TRUE
PARPAL,14400,534753,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
PASDOM,15910,4525,TRUE,milieux bâtis,urban,FALSE,FALSE,FALSE,TRUE
PASHIS,15920,4530,FALSE,,,FALSE,FALSE,FALSE,FALSE
PASITA,15912,199494,FALSE,,,FALSE,FALSE,FALSE,FALSE
PASMON,15980,4532,TRUE,milieux bâtis,urban,TRUE,FALSE,FALSE,TRUE
PELCRI,890,2462,FALSE,,,FALSE,FALSE,FALSE,FALSE
PELONO,880,2460,FALSE,,,FALSE,FALSE,FALSE,FALSE
PERAPI,2310,2832,FALSE,,,FALSE,FALSE,FALSE,FALSE
PERINF,15430,,FALSE,,,FALSE,FALSE,FALSE,FALSE
PERPER,3670,2989,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
PETPET,16040,4540,FALSE,,,TRUE,FALSE,FALSE,TRUE
PHAARI,800,2447,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHAARIARI,801,2450,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHAARIDES,802,2452,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHACAR,720,2440,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHACARCAR,721,2442,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHACARSIN,722,2446,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHACOL,3940,3003,FALSE,,,FALSE,FALSE,FALSE,TRUE
PHAFUL,5650,3250,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHALOB,5640,3243,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHAPYG,820,2454,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHATRI,5630,3247,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHIPUG,5170,814245,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHOCHI,20230,2692,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHOMOU,11270,,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHOOCH,11210,4035,TRUE,milieux bâtis,urban,FALSE,FALSE,TRUE,TRUE
PHOPHO,11220,4040,TRUE,milieux bâtis,urban,FALSE,FALSE,FALSE,TRUE
PHORUB,1470,199335,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHYBON,13070,4269,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
PHYBOR,12950,4264,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHYCOL,13110,4280,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
PHYCOLABI,13114,4287,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,FALSE
PHYCOLBRE,13116,4283,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,FALSE
PHYCOLCOL,13111,,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,FALSE
PHYCOLTRI,13113,4288,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,FALSE
PHYDES,12930,4275,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHYFUS,13030,4304,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHYINO,13000,4297,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHYPRO,12980,4267,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHYSCH,13010,4300,FALSE,,,FALSE,FALSE,FALSE,FALSE
PHYSIB,13080,4272,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
