"pk_species","ssi","ssi_old","ssi_2007","sti","sti_europe","thermal_niche_mean","thermal_niche_range","thermal_niche_max","thermal_niche_min","stri","exp_stri","trophic_vegetation","trophic_invertebrate","trophic_vertebrate"
"PLENIV",,,,,4.0448193326,,,,,,,,,
"PLUAPR",,,,,7.003152864,,,,,,,,,
"PLUSQU",,,,,1.0104301147,,,,,,,,,
"PODAUR",,,,,8.2996466285,,,,,,,,,
"PODCRI",,,,,12.6860788894,,,,,,,,,
"PODGRI",,,,,11.9386619385,,,,,,,,,
"PODNIG",,,,,13.3391366196,,,,,,,,,
"POLSTE",,,,,0.9674603175,,,,,,,,,
"PORPAR",,,,,13.5008721527,,,,,,,,,
"PORPOR",,,,,12.4064941754,,,,,,,,,
"PORPUS",,,,,15.3497102614,,,,,,,,,
"PORRIO",,,,,18.0710318921,,,,,,,,,
"PRUCOL",,,,,11.4960223023,,,,,,,,,
"PRUMOD",0.421095290261657,0.495330883,0.287379078,12.80645334,10.9083374064,10.9918,13.9506,17.5781,3.62745,1.5,4.48,50,50,0
"PSIKRA",,,,,13.7105682082,,,,,,,,,
"PTEALC",,,,,17.2732417637,,,,,,,,,
"PTEORI",,,,,16.8934761377,,,,,,,,,
"PTYRUP",1.65226274408474,,,,14.4733603417,,,,,2,7.39,,,
"PUFASS",,,,,17.4833979678,,,,,,,,,
"PYRGRA",,,,,11.3930648722,,,,,,,,,
"PYRPYR",0.97965911303607,1.052504185,0.889121091,12.66436517,10.756294956,,,,,1.1,3,,,
"PYRRAX",,,,,14.3290981791,,,,,,,,,
"RALAQU",,,,,13.3215188918,,,,,,,,,
"RECAVO",,,,,14.5831200661,,,,,,,,,
"REGIGN",1.13798377587886,1.080524909,0.819508206,15.06945901,13.1999439071,14.5515,12.7657,20.6917,7.92593,2,7.39,0,100,0
"REGREG",1.6663407243628,1.459847028,1.340672997,12.69386825,10.8075146552,11.1916,12.4064,17.0259,4.61946,2,7.39,0,100,0
"REMPEN",,,,,13.7399153521,,,,,,,,,
"RHOGIT",,,,,18.3578447768,,,,,,,,,
"RIPRIP",2.087322333865,,,,11.9550761988,,,,,2,7.39,,,
"RISTRI",,,,,7.3873668048,,,,,,,,,
"SAXRUB",1.59889509943007,1.462510996,1.005064874,13.30616422,11.2990488425,11.6614,13.6775,17.8335,4.15606,2,7.39,0,100,0
"SAXTOR",0.803999883924204,0.775837864,0.688668517,15.77204015,13.9903207102,15.2056,13.2555,21.0812,7.82576,2,7.39,0,100,0
"SCORUS",,,,,10.6010955955,,,,,,,,,
"SERCIT",,,,,11.353152804,,,,,,,,,
"SERSER",0.899379620960522,0.776660031,0.68198141,15.83331731,13.8814196118,15.5488,13.0175,22.158,9.14048,1,2.72,100,0,0
"SITEUR",0.958605254939262,0.922887583,0.778928812,14.75194506,12.7946675987,13.0224,13.2114,19.6074,6.39604,1.63,5.1,37,63,0
"SITNEU",,,,,16.4086393948,,,,,,,,,
"SITWHI",,,,,15.8651771584,,,,,,,,,
"SOMMOL",,,,,8.1688294838,,,,,,,,,
"STEALB",,,,,13.6554594356,,,,,,,,,
"STEBEN",,,,,18.1614782695,,,,,,,,,
"STECAS",,,,,10.2515622896,,,,,,,,,
"STECUS",,,,,5.9635928199,,,,,,,,,
"STEDOU",,,,,12.7248356913,,,,,,,,,
"STEFUS",,,,,17.3271685105,,,,,,,,,
"STEHIR",,,,,11.4396148713,,,,,,,,,
"STELON",,,,,3.5723104594,,,,,,,,,
"STEPAR",,,,,6.7214988279,,,,,,,,,
"STEPOM",,,,,0.5253844729,,,,,,,,,
"STESAN",,,,,12.309341223,,,,,,,,,
"STESKU",,,,,5.0753006784,,,,,,,,,
"STRALU",,,,,12.8738657057,,,,,,,,,
"STRDEC",1.04334070576542,0.991969008,0.960984381,14.79113322,12.9162282666,14.6564,19.7723,26.9157,7.14336,1,2.72,100,0,0
"STRNEB",,,,,6.8558617882,,,,,,,,,
"STRSEN",,,,,14.8562606076,,,,,,,,,
"STRTUR",0.451923215661065,0.400338036,0.379550521,15.72357702,13.7662137901,15.5491,21.8016,29.5579,7.75632,1,2.72,100,0,0
"STRURA",,,,,9.2297971248,,,,,,,,,
"STUROS",,,,,15.8790875657,,,,,,,,,
"STUUNI",,,,,16.5557443851,,,,,,,,,
"STUVUL",0.67873634529224,0.570593134,0.530414042,13.763605,11.8027600322,12.3572,14.9439,19.2662,4.32237,1.5,4.48,50,50,0
"SULBAS",,,,,8.7332606311,,,,,,,,,
"SURULU",,,,,5.7955937495,,,,,,,,,
"SYLATR",0.291052796814267,0.316277961,0.235556218,14.52318687,12.6192368528,13.1921,13.8615,20.0016,6.14015,1.6,4.95,40,60,0
"SYLBOR",0.679918677838885,0.693892461,0.449186765,13.29900176,11.3163422901,12.0225,13.1888,17.7172,4.52839,1.6,4.95,40,60,0
"SYLCAN",1.77526995137667,1.331136458,1.241757152,18.0076268,16.4215435209,17.3734,12.0385,22.1208,10.0823,1.8,6.05,20,80,0
"SYLCOM",0.624931874568529,0.653972842,0.556872145,14.57463641,12.6535890847,13.3891,13.5529,20.3339,6.78104,1.6,4.95,40,60,0
"SYLCON",,,,,16.9718230817,,,,,,,,,
"SYLCUR",0.918949632830783,1.01449149,0.77366097,13.64564359,11.6399285102,12.3091,13.3496,18.5634,5.21378,1.8,6.05,20,80,0
"SYLHOR",2.04495134542566,1.35,0.966923831,17.79176489,16.2233807984,17.5009,12.0605,21.8019,9.74135,1.7,5.47,30,70,0
"SYLMEL",1.61694751015642,0.755947664,0.596166127,18.43322889,16.9657737722,18.3292,12.0397,23.0259,10.9863,1.7,5.47,30,70,0
"SYLNIS",,,,,12.8776226593,,,,,,,,,
"SYLRUE",,,,,19.1129971963,,,,,,,,,
"SYLSAR",,,,,17.597271276,,,,,,,,,
"SYLUND",2.66103110725769,2.064941026,1.460524451,17.15527714,15.8211406462,16.7325,10.1522,21.0617,10.9095,1.9,6.69,10,90,0
"SYRREE",,,,,13.4773442672,,,,,,,,,
"TACRUF",,,,,13.4633891991,,,,,,,,,
"TADFER",,,,,15.5742096367,,,,,,,,,
"TADTAD",,,,,12.0434493446,,,,,,,,,
"TARCYA",,,,,6.5676103326,,,,,,,,,
"TETRAX",,,,,16.1633400521,,,,,,,,,
"TETRIX",,,,,8.9964805261,,,,,,,,,
"TETURO",,,,,8.737084406,,,,,,,,,
"TICMUR",,,,,11.0821393827,,,,,,,,,
"TRICIN",,,,,10.5979751735,,,,,,,,,
"TRIERY",,,,,4.7717132465,,,,,,,,,
"TRIGLA",,,,,7.6706167812,,,,,,,,,
"TRINEB",,,,,6.4505313773,,,,,,,,,
"TRIOCH",,,,,9.8785200822,,,,,,,,,
"TRISTA",,,,,13.0028332904,,,,,,,,,
"TRITOT",,,,,11.0359375128,,,,,,,,,
"TROTRO",0.430256824247076,0.371591604,0.347440389,14.04323666,12.2368253494,12.9074,15.9244,20.6657,4.74128,2,7.39,0,100,0
"TURILI",,,,,8.2509643717,,,,,,,,,
"TURMER",0.237413533737668,0.233557211,0.193482052,14.44628666,12.5843398181,13.7146,16.3924,21.7949,5.40248,1.6,4.95,40,60,0
"TURPHI",0.451149849782918,0.401705521,0.375643662,13.33253852,11.3956704897,11.6012,14.214,17.9786,3.76458,1.57,4.81,43,57,0
"TURPIL",1.49238565245141,1.385856175,0.892987633,12.18738104,10.0287125382,10.5189,13.5309,16.2458,2.71486,1.6,4.95,40,60,0
"TURRUF",,,,,4.0357353211,,,,,,,,,
"TURSYL",,,,,20.7412371134,,,,,,,,,
"TURTOR",2.24162315114866,,,,9.0307605949,,,,,1.7,5.47,,,
"TURVIS",0.529272038268146,0.51788221,0.506434615,13.80206504,11.9147042629,12.4433,14.7843,19.8083,5.02401,1.55,4.71,45,55,0
"TYTALB",,,,,13.9906366009,,,,,,,,,
"UPUEPO",0.544658998067876,0.606750732,0.38624676,16.25421502,14.1794185219,15.9169,15.3301,24.5791,9.24903,2,7.39,0,100,0
"URIAAL",,,,,9.5889791859,,,,,,,,,
"URILOM",,,,,1.035541019,,,,,,,,,
"VANVAN",2.20960529927998,2.22757861,2.019694815,13.50076026,11.532605723,11.9405,14.1509,18.5567,4.40578,1.9,6.69,10,90,0
"XENCIN",,,,,10.5979751735,,,,,,,,,
