"pk_species","ssi","ssi_old","ssi_2007","sti","sti_europe","thermal_niche_mean","thermal_niche_range","thermal_niche_max","thermal_niche_min","stri","exp_stri","trophic_vegetation","trophic_invertebrate","trophic_vertebrate"
"CARCAN",0.678321326109784,0.696829895,0.597375607,15.05343921,13.1603552715,14.2114,13.2644,21.4034,8.13908,1.05,2.86,95,5,0
"CARCAR",0.753282393908781,0.704341478,0.650257531,15.36788927,13.4542440183,14.6936,14.3588,22.9379,8.5791,1.05,2.86,95,5,0
"CARCHL",0.838069068739691,0.657206764,0.570617252,15.18936351,12.6006224966,13.8886,15.2923,21.5397,6.24732,1.05,2.86,95,5,0
"CARERY",,,,,10.348256227,,,,,,,,,
"CARFLA",,,,,8.1923087262,,,,,,,,,
"CARHOR",,,,,3.0886828702,,,,,,,,,
"CARRIS",,,,,6.9462495294,,,,,,,,,
"CARSPI",2.62080542586559,,,,10.2425165856,,,,,1.03,2.8,,,
"CEPGRY",,,,,7.4556643173,,,,,,,,,
"CERBRA",0.612574058844129,0.621995766,0.544510752,15.70016696,13.8972978687,15.3616,12.1146,21.2164,9.10174,2,7.39,0,100,0
"CERFAM",1.95824157005182,1.89,1.424187595,13.0651408,11.119463211,11.7709,12.6035,17.7345,5.13102,1.95,7.03,5,95,0
"CERGAL",,,,,18.6085126056,,,,,,,,,
"CETCET",1.84936762695553,1.358084473,1.145637826,17.34624961,15.9492001703,16.9112,14.7673,23.3435,8.57622,2,7.39,0,100,0
"CHAALE",,,,,16.3071703744,,,,,,,,,
"CHAASI",,,,,16.2644926524,,,,,,,,,
"CHADUB",,,,,12.7729324864,,,,,,,,,
"CHAHIA",,,,,8.2214626932,,,,,,,,,
"CHALES",,,,,14.6817099567,,,,,,,,,
"CHAMOR",,,,,5.3850226206,,,,,,,,,
"CHEDUP",,,,,14.9653062548,,,,,,,,,
"CHEGRE",,,,,14.6349167051,,,,,,,,,
"CHLHYB",,,,,14.8787948952,,,,,,,,,
"CHLLEU",,,,,13.1741252005,,,,,,,,,
"CHLNIG",,,,,13.0082465521,,,,,,,,,
"CICCIC",2.91362776646128,,,,13.6109777723,,,,,2.6,13.46,,,
"CICNIG",,,,,13.1076611128,,,,,,,,,
"CINCIN",2.7229195848459,,,,11.0150016531,,,,,2,7.39,,,
"CIRAER",2.26660341371475,2.057039656,2.383129277,15.27276045,13.2259231132,13.6722,15.1964,22.6326,7.43621,3,20.09,0,0,100
"CIRCYA",1.37980521679534,1.253167466,1.482174391,12.72123836,10.6284445855,11.063,13.2879,16.833,3.54511,3,20.09,0,0,100
"CIRGAL",1.60618378059034,,,,14.6544201337,,,,,3,20.09,,,
"CIRMAC",,,,,13.8641537167,,,,,,,,,
"CIRPYG",1.41353767171637,1.689542948,1.508296075,15.75037117,13.6904029809,14.3518,9.32976,19.6703,10.3405,2.6,13.46,0,40,60
"CISJUN",2.41649433731375,2.148114242,1.642267798,18.15483237,16.8491453521,19.0736,15.5653,27.854,12.2886,2,7.39,0,100,0
"CLAGLA",2.07064784692225,,,,16.705954543,,,,,2,7.39,,,
"CLAHYE",,,,,3.3853509781,,,,,,,,,
"COCCOC",1.3005667848875,0.983754778,0.857174254,14.97066842,12.9763477132,14.0176,10.9858,19.8149,8.8291,1.05,2.86,95,5,0
